x,y,z,yaw
278.0,-162.0,0,161.30060879
275.9941191893576,-161.32107055892777,0,160.966552939
274.01304610745314,-160.6376385454961,0,160.627650734
272.05663477932103,-159.94973842438273,0,160.28383436
270.1247392299954,-159.2574046602652,0,159.935036034
268.21721348451075,-158.5606717178212,0,159.581188087
266.3339115679012,-157.8595740617284,0,159.22222305
264.47468750520125,-157.1541461566644,0,158.85807375
262.6393953214449,-156.4444224673068,0,158.488673403
260.8278890416667,-155.73043745833334,0,158.113955723
259.04002269090074,-155.01222559442158,0,157.733855033
257.27565029418156,-154.2898213402492,0,157.348306377
255.53462587654323,-153.56325916049383,0,156.957245652
253.81680346302014,-152.83257351983312,0,156.560609736
252.12203707864657,-152.09779888294466,0,156.158336623
250.4501807484568,-151.35896971450617,0,155.750365576
248.80108849748515,-150.61612047919525,0,155.336637274
247.17461435076592,-149.86928564168952,0,154.917093975
245.57061233333332,-149.11849966666665,0,154.491679684
243.98893647022174,-148.3637970188043,0,154.060340329
242.42944078646545,-147.60521216278005,0,153.623023944
240.89197930709878,-146.8427795632716,0,153.17968086
239.37640605715595,-146.0765336849566,0,152.730263907
237.88257506167122,-145.30650899251256,0,152.274728615
236.41034034567897,-144.53273995061724,0,151.813033431
234.95955593421354,-143.75526102394832,0,151.345139938
233.53007585230912,-142.97410667718336,0,150.871013086
232.12175412500002,-142.189311375,0,150.390621424
230.73444477732056,-141.40090958207594,0,149.903937338
229.368001834305,-140.6089357630887,0,149.410937304
228.0222793209877,-139.81342438271608,0,148.911602134
226.69713126240282,-139.01440990563557,0,148.405917235
225.39241168358484,-138.21192679652492,0,147.893872869
224.10797460956786,-137.40600952006173,0,147.375464415
222.8436740653864,-136.59669254092367,0,146.85069264
221.59936407607452,-135.7840103237883,0,146.319563959
220.37489866666667,-134.96799733333333,0,145.782090711
219.17013186219708,-134.14868803423641,0,145.238291421
217.98491768770006,-133.3261168911751,0,144.688191068
216.81911016820985,-132.5003183688271,0,144.131821347
215.67256332876084,-131.6713269318701,0,143.569220925
214.5451311943873,-130.83917704498177,0,143.000435698
213.43666779012344,-130.00390317283953,0,142.42551903
212.34702714100365,-129.16553978012115,0,141.844531992
211.2760632720622,-128.32412133150436,0,141.257543586
210.22363020833336,-127.4796822916667,0,140.664630955
209.1895819748514,-126.6322571252858,0,140.065879583
208.17377259665065,-125.78188029703932,0,139.461383478
207.17605609876543,-124.92858627160493,0,138.851245331
206.19628650623005,-124.07240951366029,0,138.235576664
205.23431784407862,-123.21338448788293,0,137.614497952
204.29000413734565,-122.35154565895061,0,136.98813872
203.36319941106544,-121.48692749154091,0,136.356637617
202.45375769027208,-120.61956445033152,0,135.720142464
201.561533,-119.74949099999998,0,135.078810273
200.68637936528347,-118.87674160522405,0,134.432807231
199.82815081115683,-118.00135073068128,0,133.78230866
198.98670136265434,-117.12335284104938,0,133.127498944
198.16188504481025,-116.24278240100597,0,132.468571412
197.35355588265887,-115.3596738752286,0,131.805728201
196.56156790123458,-114.47406172839507,0,131.139180074
195.78577512557155,-113.5859804251829,0,130.469146207
195.02603158070414,-112.69546443026977,0,129.795853934
194.2821912916667,-111.80254820833335,0,129.119538469
193.55410828349338,-110.90726622405123,0,128.440442576
192.84163658121852,-110.00965294210107,0,127.758816221
192.1446302098765,-109.10974282716046,0,127.074916177
191.4629431945016,-108.20757034390718,0,126.389005605
190.79642956012805,-107.30316995701875,0,125.701353601
190.14494333179013,-106.39657613117285,0,125.01223471
189.50833853452218,-105.48782333104711,0,124.321928425
188.88646919335847,-104.57694602131917,0,123.630718644
188.27918933333333,-103.66397866666668,0,122.938893121
187.68635297948103,-102.74895573176727,0,122.246742886
187.10781415683584,-101.83191168129855,0,121.554561657
186.54342689043216,-100.91288097993828,0,120.862645228
185.99304520530404,-99.99189809236398,0,120.171290862
185.45652312648602,-99.06899748325324,0,119.480796663
184.9337146790123,-98.14421361728395,0,118.79146095
184.42447388791726,-97.21758095913356,0,118.103581638
183.92865477823503,-96.28913397347964,0,117.417455607
183.4461113749999,-95.35890712499994,0,116.733378095
182.97669770324651,-94.42693487837224,0,116.051642094
182.52026778800874,-93.49325169827392,0,115.372537752
182.07667565432098,-92.5578920493827,0,114.696351808
181.64577532721765,-91.6208903963763,0,114.023367034
181.22742083173296,-90.68228120393229,0,113.353861706
180.82146619290125,-89.74209893672841,0,112.688109097
180.42776543575673,-88.80037805944215,0,112.026376996
